Fecha,Día,Turno,Trabajadores
20/03/2025,Jueves,Diurno (08:00-20:00),"Pepe Mel, Omenuke Mfulu, Sergio Ramos, Fernando Torres"
20/03/2025,Jueves,Nocturno (20:00-08:00),"Sergio Santana, Pedro Gónzalez, Alberto Moleiro, Felipe Hernández"
21/03/2025,Viernes,Diurno (08:00-20:00),"Pepe Mel, Omenuke Mfulu, Sergio Ramos, Fernando Torres"
21/03/2025,Viernes,Nocturno (20:00-08:00),"Sergio Santana, Pedro Gónzalez, Alberto Moleiro, Felipe Hernández"
22/03/2025,Sábado,Diurno (08:00-20:00),"Jaime Mata, Sergio López, David García, Federico Valverde"
22/03/2025,Sábado,Nocturno (20:00-08:00),"Juan Mata, Antonio Gil, Raúl Asencio, Kike García"
23/03/2025,Domingo,Diurno (08:00-20:00),"Jaime Mata, Sergio López, David García, Federico Valverde"
23/03/2025,Domingo,Nocturno (20:00-08:00),"Juan Mata, Antonio Gil, Raúl Asencio, Kike García"
24/03/2025,Lunes,Diurno (08:00-20:00),"Pepe Mel, Omenuke Mfulu, Alberto Moleiro, Juanma Rodríguez"
24/03/2025,Lunes,Nocturno (20:00-08:00),"Pepe Bueno, Alberto Melián, Pablo Maffeo, Andrés Jímenez"
