Fecha,Día,Turno,Trabajadores
28/03/2025,Viernes,Retenes de refuerzo 1 (21:30-07:30),"Juan Mata, Sergio López, Pepe Bueno"
28/03/2025,Viernes,Retenes de refuerzo 2 (07:30-17:30),"Antonio Gil, Raúl Asencio"
28/03/2025,Viernes,Retenes del Cabildo (12:30-21:30),"Pepe Mel, Sergio Ramos"
29/03/2025,Sábado,Retenes de refuerzo 1 (21:30-07:30),"Kike García, Alberto Melián, Pablo Maffeo"
29/03/2025,Sábado,Retenes de refuerzo 2 (07:30-17:30),"Andrés Jímenez, Daniel Carvajal"
29/03/2025,Sábado,Retenes del Cabildo (12:30-21:30),"Jaime Mata, Sergio Santana"
30/03/2025,Domingo,Retenes de refuerzo 1 (21:30-07:30),"Juan Mata, Sergio López, Pepe Bueno"
30/03/2025,Domingo,Retenes de refuerzo 2 (07:30-17:30),"Antonio Gil, Raúl Asencio"
30/03/2025,Domingo,Retenes del Cabildo (12:30-21:30),"Omenuke Mfulu, Sergio Ramos"
31/03/2025,Lunes,Retenes de refuerzo 1 (21:30-07:30),"Kike García, Alberto Melián, Pablo Maffeo"
31/03/2025,Lunes,Retenes de refuerzo 2 (07:30-17:30),"Andrés Jímenez, Daniel Carvajal"
31/03/2025,Lunes,Retenes del Cabildo (12:30-21:30),"Pepe Mel, Alberto Moleiro"
01/04/2025,Martes,Retenes de refuerzo 1 (21:30-07:30),"Juan Mata, Sergio López, Pepe Bueno"
01/04/2025,Martes,Retenes de refuerzo 2 (07:30-17:30),"Antonio Gil, Raúl Asencio"
01/04/2025,Martes,Retenes del Cabildo (12:30-21:30),"Sergio Ramos, David García"
02/04/2025,Miércoles,Retenes de refuerzo 1 (21:30-07:30),"Kike García, Alberto Melián, Pablo Maffeo"
02/04/2025,Miércoles,Retenes de refuerzo 2 (07:30-17:30),"Andrés Jímenez, Daniel Carvajal"
02/04/2025,Miércoles,Retenes del Cabildo (12:30-21:30),"Pepe Mel, Omenuke Mfulu"
03/04/2025,Jueves,Retenes de refuerzo 1 (21:30-07:30),"Juan Mata, Sergio López, Pepe Bueno"
03/04/2025,Jueves,Retenes de refuerzo 2 (07:30-17:30),"Antonio Gil, Raúl Asencio"
03/04/2025,Jueves,Retenes del Cabildo (12:30-21:30),"Sergio Ramos, Alberto Moleiro"
